Unnamed: 0,year,price,ranks,title,no_of_reviews,ratings,author
13,2019,5.99,14,Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),"28,868",4.6,M Prefontaine
14,2019,16.65,15,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking","20,643",4.8,Samin Nosrat
15,2019,4.93,16,The Very Hungry Caterpillar,"54,127",4.9,Eric Carle
16,2019,11.89,17,"What Should Danny Do? (The Power to Choose Series) (The Power to Choose, 1)","22,197",4.8,Adir Levy
17,2019,23.55,18,It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,"17,308",4.8,Lysa TerKeurst
18,2019,6.99,19,"I Am Confident, Brave & Beautiful: A Coloring Book for Girls","32,112",4.8,Hopscotch Girls
19,2019,7.74,20,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),"86,825",4.7,Don Miguel Ruiz
20,2019,12.99,21,Unfreedom of the Press,"9,266",4.9,Mark R. Levin
21,2019,9.99,22,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),"18,479",4.9,Dav Pilkey
22,2019,6.9,23,Giraffes Can't Dance,"28,456",4.8,Giles Andreae
23,2019,4.14,24,If Animals Kissed Good Night,"69,626",4.8,Ann Whitford Paul
24,2019,8.48,25,"Oh, the Places You'll Go!  ","42,931",4.9,Dr. Seuss
25,2019,17.44,26,Howard Stern Comes Again,"7,962",4.5,Howard Stern
26,2019,5.9,27,Guts: A Graphic Novel,"13,995",4.8,Raina Telgemeier
27,2019,8.32,28,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,
28,2019,21.52,29,"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (Illustrated edition) (4)","24,906",4.9,J. K. Rowling
29,2019,8.72,30,National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),"17,854",4.8,Amy Shields
